,titles,companies,locations,reviews,noofreviews,descriptions,salaries
0,Data science trainer,Yess InfoTech,"Hadapsar, Pune, Maharashtra",None,None,"As a Data Science Trainer, you will be responsible for designing, developing, and delivering training programs focused on data science concepts.
Function: Data Science and Analysis → Data Science / Machine Learning
Machine Learning
NLP
Python
R
Training
In this role, you will be at the heart of the world class programs.
Responsibilities:
Training working professionals on in-demand skills like Data analysis, Machine Learning etc
Delivering highly interactive lectures online that are in line with INSAID's teaching methodology
Develop cutting edge and innovative content for classes to help facilitate delivery of classes in an interesting way
Continuously improve the delivery experience to ensure that experience of students is world class
Job Type: Full-time
Salary: ₹15,000.00 - ₹25,000.00 per month
Benefits:
Paid sick time
Paid time off
Schedule:
Day shift
Supplemental pay types:
Overtime pay
Experience:
total work: 1 year (Preferred)
Ability to Commute:
Hadapsar, Pune, Maharashtra (Required)
Ability to Relocate:
Hadapsar, Pune, Maharashtra: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 9518935150","₹15,000 - ₹25,000 a month"
1,Machine Learning course,The Archery solutions,"Chennimalai, Tamil Nadu",None,None,"Get the knowledge of Machine Learning from anywhere.
You will learn introduction of AI and ML.
Types of Algorithm in Machine Learning.
Advanced Machine Learning Techniques.
Classes are available in Online Mode.
Available for limited slots only.
Duration will be 1 Month for the course.
ISO Certificate will be provided after the course completion.
100% Practical Sessions will be provided.
Classroom doubt clearing sessions are available.
Industry oriented syllabus is been impleted.
Job Type: Part-time
Salary: From ₹15,000.00 per month
Expected hours: No less than 10 per week
Schedule:
Monday to Friday
Speak with the employer
+91 9489982251","From ₹15,000 a month"
2,Data Scientist,BigShyft,"Bengaluru, Karnataka",None,None,"GeoIQ
Minicorn
Bengaluru/ Bangalore
1-3 yrsExperience
15L - 25LSalary
Seed
Start-up
11-50 employees

Why this job may interest you
GeoIQ is a web-based analytics platform
Raised a total of $11.5M in funding over 3 rounds
Job Description
What you’ll do:
As a Data Scientist at GeoIQ, you will play a crucial role in extracting valuable insights from vast and complex datasets to support our hyperlocal location AI platform and enable businesses to make precise and data-driven decisions.
Collaborate with cross-functional teams to understand business requirements and define data science project objectives.
Collect, clean, and preprocess large-scale datasets from diverse sources to ensure data quality and suitability for analysis.
Develop and implement machine learning algorithms and predictive models to solve business problems and optimize decision-making processes.
Conduct in-depth data analysis, exploratory data analysis, and statistical hypothesis testing to identify patterns, trends, and insights.
Use advanced statistical techniques and mathematical modeling to uncover relationships between variables and predict outcomes.
Create and maintain data pipelines and automation processes for efficient data ingestion, transformation, and storage.
Build and deploy data-driven dashboards, visualizations, and interactive reports to communicate findings to stakeholders effectively.
Continuously monitor model performance, conduct A/B testing, and fine-tune models to improve accuracy and efficiency.
Collaborate with software engineers to integrate machine learning models into production systems.
What makes you a great fit:
Proficient in Python
Work experience 1+ years
Prior experience with building ML models
Prior experience with SQL
Knowledge of statistical techniques
Experience with working on Spatial Data will be an added advantage.
About GeoIQ
GeoIQ is a locational intelligence platform that tells the value of each location - people, their behaviours, businesses, and potentials - as easily consumable layers on maps.
GeoIQ has over 25 clients across retail and logistics including Sanofi, Eko Financial, Bounce, Curefit, etc.
A strong blend of ML capabilities, data engineering, geo-spatial expertise and a state-of-the-art product is driving GeoIQ
Company Type
Start-up

http://www.geoiq.ai
Company Size
11-50 employees
Headquarters
Bangalore, Karnataka, India","₹15,00,000 - ₹25,00,000 a year"
3,Data Science Trainer,Blue Data Consulting,"Delhi, Delhi",None,None,"Job Summary:
As a Data Science Trainer, you will be responsible for designing, developing, and delivering training programs focused on data science concepts. Your role will involve educating individuals or teams within an organization to enhance their skills in DS, fostering a culture of continuous learning and innovation.
Key Responsibilities:
Design and develop comprehensive training curriculum for DS, considering the skill levels and backgrounds of the target audience.
Keep curriculum content up-to-date with the latest industry trends, tools, and technologies in DS.
Conduct engaging and interactive training sessions, workshops, and seminars on DS topics.
Utilize various instructional methods, such as lectures, demonstrations, hands-on exercises, and group activities, to cater to different learning styles.
Tailor training programs to meet the specific needs of different departments or teams within an organization.
Provide personalized guidance to participants based on their skill levels and career goals.
Implement assessment tools to evaluate the effectiveness of training programs.
Gather feedback from participants and stakeholders to continuously improve the quality of training content and delivery.
Stay abreast of advancements in DS field and incorporate relevant updates into training materials.
Attend conferences, webinars, and workshops to enhance personal knowledge and contribute to the development of training content.
Collaborate with internal teams, subject matter experts, and external resources to ensure the accuracy and relevance of training materials.
Work closely with HR and department heads to identify training needs and align programs with organizational goals.
Provide mentorship and guidance to individuals or teams seeking additional support in their DS learning journey.
Foster a positive and collaborative learning environment.
Create and maintain documentation related to training programs, including course outlines, materials, and assessment tools.
Qualifications:
Bachelor’s or master’s degree in a relevant field (Computer Science, Data Science, Machine Learning, etc.).
Proven experience in AI and DS, with a strong understanding of machine learning algorithms, data analysis, and related technologies.
Excellent communication and presentation skills.
Previous experience in training or teaching roles is preferred.
Familiarity with popular AI and DS tools and frameworks (e.g., Python, TensorFlow, PyTorch, scikit-learn).
Ability to adapt to the varying skill levels and backgrounds of participants.
Location: Delhi
Timing: 9:30 AM to 5:30 AM
Working days: Monday to Friday
Mode: On site
Job Type: Full-time
Salary: ₹600,000.00 - ₹1,200,000.00 per year
Schedule:
Day shift
Supplemental pay types:
Yearly bonus
Education:
Bachelor's (Preferred)
Experience:
Training: 2 years (Preferred)
total work: 4 years (Preferred)
Work Location: In person
Speak with the employer
+91 9104445059","₹6,00,000 - ₹12,00,000 a year"
4,Scientist Applied Research,CavinKare Group,"Chennai, Tamil Nadu",3.9 out of 5 stars,160 reviews,"Department
Applied Interfacial & Material Science (AIMS)
Job posted on
Jan 08, 2024
Employee Type
R&D (P)
Experience range (Years)
0 - 1 year

Overall Nature of Work
The essential nature of work is to design and develop new technologies / new materials / advanced formulation techniques that are applicable in Personal Care (PC) product domain and, transfer the advancement to the formulation development teams.
Responsibilities include, but not limited to,
Ø To develop breakthrough technologies applicable to Personal Care (PC) product domain that can be commercialized to unique products having proprietary advantage and preferred by target consumers
Ø To develop advanced formulation techniques / new processes to develop significantly superior products along with cost saving.
Ø To develop novel functional materials / actives related to PC domain that give significantly superior benefits / performance and IPR advantage .
Ø Comprehensively understand the physicochemical properties of critical raw materials and how it affects the product’s attribute or its interaction with the intended substrate (performance).
Ø To work closely with formulation development teams to ensure effective transfer of technologies / new processes to product domain
Technical skills
Ø Strong background in polymers or hydrocolloids or in chemistry of composites / hybrid materials
Ø Strong understanding of colloids and interfaces is an added advantage
Ø Experience in synthesis of organic / inorganic / polymers
Ø Strong background in advanced characterization techniques like X-ray scattering, rheology, light scattering, electron microscopy, DSC / TGA, FTIR, NMR, GC, HPLC etc.
Ø Strong analytical skills
Ø Excellent written and oral communication skills
Educational Qualification
PhD in Chemistry with areas of research focusing on polymers/ hydrocolloid/ composites",None
5,Data Insights & Analytics Analyst-1,Telstra,"Bengaluru, Karnataka",3.9 out of 5 stars,"1,461 reviews","Employment Type
Permanent
Closing Date
30 Jan 2024 11:59pm
Job Title
Data Insights & Analytics Analyst-1
Job Summary
As a Data Insights and Analytics Analyst, you thrive on interrogating large data sets to solve problems. You collaborate with your colleagues to drive data led decision making across Telstra. By providing the right insights, in the right way at the right time you're central to our success.
Job Description
As a Data Insights and Analytics Analyst, you thrive on interrogating large data sets to solve problems. You collaborate with your colleagues to drive data-led decision-making across Telstra. By providing the right insights, in the right way at the right time, you're central to our success.

Our P&T Team

The mission of the Product & Technology - Data & AI unit is to leverage talent, technology, and partnership to create growth, value, innovation, and differentiation via a service mindset.

Our focus is to deliver great experiences, simplify and innovate, and drive Telstra’s profitability across a global operating footprint.

The role with us:

As a Data Insights and Analytics Analyst, you are an important contributor to analysing business problems and recommending solutions that drive data decision-making within our organization.
You will also be working closely with Data Engineering and Data Science teammates and the Product Owner on workday datasets, so having an interest or background in these areas is significantly beneficial.

Key responsibilities:

Probe, source, and manipulate large data sets to resolve issues or develop a solution to enable business decisions.
Defining business problems, assisting with hypothesis development, undertaking relevant reporting, summarising insights, and making recommendations for actions.
Investigating and analyzing large workforce datasets to help resolve business problems or develop a solution to enable business decisions.
Visualising data using PowerBI, creating dashboards that integrate data from multiple source systems to analyze, track, and report on different Metrics.
Identify stakeholder pain points, provide insights reporting, and root cause analysis to support Product Owners from the Workforce Strategy mission.

About you

To be successful in the role, you'll bring skills and experience in:
Knowledge of business requirements gathering, data profiling, and data analysis.
Data visualization experience—work with an enterprise data visualization platform such as Tableau or Power BI.
Strong background in SQL to extract, join, and transform data.
Exceptional presentation and interpersonal skills.
Confident communication with stakeholders, both internal and external, at all levels of the business.
Understanding and exposure to machine learning principles.
Understanding of metrics and insights, revenue drivers and intelligent targets.
Have a proactive mindset, self-motivated approach, and with customer/stakeholder-centric mindset.
Telstra Product knowledge or previous experience with Telstra enterprise Products and data sources.
Basic understanding of Telstra Enterprise customer value chains (O2A, S2P, etc.)
Grasp the AGILE ways of working.

If this opportunity sounds like a perfect fit for you, we'd encourage you to apply!",None
6,Lead Data Scientist (GenAI),Boston Consulting Group,"Bengaluru, Karnataka",4.2 out of 5 stars,452 reviews,"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.

Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.

BCG X taps into end-to-end tech design & build capabilities, with nearly 3000 experts, delivering solutions that are industrial-grade to sustain deep change across global companies, and partners actively with the digital ecosystem. BCG X solutions & software are tech-agnostic. BCG X is a force multiplier for BCG functional/sector expertise to build and scale disruptive high-impact software-enabled business solutions.
Practice Area Profile

What You'll Do

We are seeking a strong candidate with significant advanced analytics experience to fill an exciting Lead Data Scientist (LDS) position within BCG X. The LDS is expected to be recognized expert in data science and will manage a team of data scientists to build innovative new products and analytics solutions. A LDS must show they can frame problems in a way that analytics team members can then execute to drive impact and results. Exceptional candidates will also show strong curiosity, going beyond the immediate case requirements to understand the fundamental drivers of advantage and look for clues that may change the basis of competition.
The LDS will be involved in all aspects of advanced analytics, from helping to create relevant products and service offerings by working with priority global Practice Areas, to leading and executing analytics work and continuing to expand the analytical foundation and competitive value proposition. Strong LDS candidates will be a thought leader in analytics methodologies and technologies – they will be instrumental members of the team for designing and building new products.
In client contexts, LDS need to provide senior analytics project management oversight for large-scale efforts, including managing of external relationships and project budgets / timelines. As the senior person from BCG X most frequently at the client site, the LDS is responsible for a large portion of client relationship management for the analytics effort. He/she will need to interact with client counterpart’s day- to-day to ensure expectations are aligned and that in-progress analysis and findings are tested. Where findings are controversial, a key role of the LDS is to socialize the analysis and findings so that clients and members of the wider BCG team have the time to ask questions and identify issues prior to the formal presentation of findings.
LDS is expected to provide mentoring to analytics team members on both a formal and informal basis. Feedback and suggestions for development can occur at any time during a project. That said, each project starts with a formal identification of analytics team member development needs and an action plan for achieving them. Progress against this plan should be checked on a regular basis with specific, actionable feedback provided at frequent, regular intervals.
LDS do not have specific business development metrics. However, it is expected that they will show increasing ability to identify, document and capitalize on commercial opportunities for future work whether at current clients or new clients.


What You'll Bring (Experience & Qualifications)

PhD or advanced degree required in a field linked to business analytics, statistics or geo- statistics, operations research, geography, applied mathematics, computer science, engineering, or related field
The prospective LDS will fit into the company’s team-oriented, relationship-based culture, and will feel comfortable reaching out to other members of the community both for integration with the firm and execution of client business.
Strong record of professional accomplishment and leadership.
Demonstrated ability to lead and manage projects and teams.
Proven ability to drive topics and make a commercial impact.",None
7,Manager GenAi Data Science,Aligned Automation,"Pune, Maharashtra",None,None,"About the role
A ‘Better Together’ philosophy towards building a better world.
Aligned Automation is a strategic service provider that partners with Fortune 500 leaders to digitize enterprise operations and enable business strategies. We believe we can create positive, lasting change in the way our clients work while advancing the global impact of their business solutions for a more optimistic and better world. We are passionate about building and sustaining an inclusive and equitable workplace where all people can develop and thrive. Enriched by our “4C’s” – Care, Courage, Curiosity, and Collaboration – our culture supports solutions that empower the possible .
Aligned Automation offer services by partnering with global firms to solve complex business problems by creating AI-powered, data-smart solutions and sustaining progress with expert services.
Role: Data Scientist, Generative AI
Location: Pune/ Bangalore
Experience: 10 + Years
Job Description -
As a Consultantand with service delivery as your primary focus, you will be responsible for providing both business and technical services for a range of customer-facing consulting activities that specialize in Generative AI. Your role will involve aiding customers as they plan and strategize their Generative AI initiatives. Your technical proficiency and customer-facing knowledge, in addition to strong and trustworthy partnership, is necessary to cultivate customer relationships and ensure clarity of project objectives. The necessary requirements for this position are listed below
Requirement and skills
Candidate should have 14+ years of experience in the fields of Artificial Intelligence and GenAi with 2+ years of progressive professional growth in a customer-facing services delivery role.
Must have the ability to lead discussions with C-level customer roles, drive consensus, create strategic roadmaps, and engage data scientists on exploring existing and future ecosystems.
Possess deep knowledge of Generative AI, particularly with model selection, data preparation for GenAI training, model finetuning and customization, and guardrail implementation; understanding of the GenAI tooling ecosystem including Kubernetes, MLops, and AIops tools.
Ability to gain customer trust, plan, organize, and drive customer workshops, and present findings.
Demonstrated capacity to articulate complex concepts, build consensus and deliver outstanding work products.
Proven experience in conducting architectural analyses, benefits analyses, and discoveries related to IT engagements.
Must have prior experience working directly with clients, providing engaging presentations and accurate documentation while leading workshops and interviews.
The ideal candidate should be able to deliver tailored technology services on an enterprise-wide level while adhering to margin, planning and SOW requirements.
On-site customer workshops may be required.
Familiarity with Nvidia AI tools, including Bright Command Manager, Nemo Framework, and Triton Inference Server
Proficiency in Large Language Models (LLM)
Competency using MLOps and AIOps tools such as cnvrg.io, mlfow, and Domino
Expertise in Lean and Iterative Deployment Methodologies
Educational Background in Machine Learning is an asset
Certifications in relevant fields is preferred
Request you to please go through the details and acknowledge your interest towards this role. We will take it forward from here accordingly .
Job Type: Full-time
Pay: ₹4,000,000.00 - ₹6,000,000.00 per year
Experience:
total work: 10 years (Preferred)
Ability to Commute:
Pune, Maharashtra (Required)
Ability to Relocate:
Pune, Maharashtra: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 9822675168","₹40,00,000 - ₹60,00,000 a year"
8,Data science& Analytics-Teaching,JAIN UNIVERSITY,"Bengaluru, Karnataka",4.1 out of 5 stars,80 reviews,"JAIN (Deemed-to-be University) is an open-minded educational institution in Bengaluru, India, that provides state-of-the-art facilities in various sectors including education, sports, entrepreneurship, and research. The university encourages students to exceed expectations in their area of interest and become ethically sound individuals.
We are hiring for Assistant Professors for JAIN (Deemed-to-be University).
Below are the specialisations:
CS&IT- Data Science
Data science & Analytics
Statistics(Python, R Programming, SPSS )
Job Type: Full-time
Salary: ₹18,766.59 - ₹32,259.76 per month
Experience:
total work: 1 year (Preferred)
Ability to Commute:
Bangalore, Karnataka (Required)
Ability to Relocate:
Bangalore, Karnataka: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 9876543210","₹18,766.59 - ₹32,259.76 a month"
9,Sr./Lead Data Scientist,BigShyft,"Noida, Uttar Pradesh",None,None,"Info Edge
MnC Captive
Noida
3-6 yrsExperience
Salary is confidential
Public
1001-5000 employees

Why this job may interest you
India's premier internet based business
Turning towards AI, ML and Deep Learning
Job Description
What You'll do:
Develop algorithms and build systems to extract seemingly unseen trends and information from user content such as resumes, job description and profile information available through various sources and in different modalities such as numeric, structure and unstructured texts and images.
Identify potential new business problems that can be solved through machine learning.
Ideate, formulate, create metrics and execute on such problems and get buy in from business.
Identify potential data-driven machine learning solutions to improve user experience through personalization and prediction of user preferences.
Build intelligent systems to capture and model the vast amount of behavior data to enrich the content understanding with behavioral information.
Identify the appropriate and cutting edge machine learning tools for various supervised and unsupervised tasks in the NLP, deep learning, semantic search, LTR space for building highly accurate and scalable recommendation systems and information retrieval solutions.
Design solutions for scalable and real-time performance on a significantly large data set. Use big data technologies to optimally use infrastructure and improve performance.
Participate in external forums /discussions, publish research papers, keep up-to-date on latest publications and build external/internal networks.

What makes you a great fit:
Strong fundamental understanding and research experience in machine learning/Deep Learning/NLP/Information Retrieval/Artificial Intelligence areas.
Strong applied knowledge of machine learning in solving real-world business problems with a significantly broad number of algorithms covering the landscape of classification, regression; discriminative, generative; supervised, unsupervised, semi-supervised; linear and non-linear dimensionality reduction, feature-extraction, feature selection, feature-learning.
Industry experience in applying a variety of machine learning solutions to real-world large-scale data to build intelligent systems.
An excellent problem solving skills with a research oriented approach.
Ability to capture, manage, create pipelines and process Big Data.
Team Size
50+ employees
Additional benefits
Pick-up/drop facility
Day care facility
Flexible work hours
About Info Edge
Info Edge, India’s premier online classifieds company is fundamentally in the matching business.
The umbrella brand has an online recruitment classifieds, www.naukri.com– India’s No. 1 Jobsite with over 75% traffic share, a matrimony classifieds, www.jeevansathi.com, a real estate classifieds, www.99acres.com– India’s largest property marketplace and an education classifieds, www.shiksha.com
While the Company has been growing at the anvil of Product, Technology, Design and Technology, in order to ensure that the most relevant products get matched to the consumer needs, the Company is increasingly turning towards Artificial Intelligence, Machine Learning and Deep Learning.
Company Type
Public

http://infoedge.in/
Company Size
1001-5000 employees
Headquarters
Noida",₹50 an hour
10,ML Engineer,Impetus Technologies,India,4 out of 5 stars,4 reviews,"Must have skills:
Python (pandas, numpy, matplotlib, seaborn, scikit-learn)
Machine Learning (supervised, unsupervised, semi-supervised, and ensemble methods)
Data Wrangling (cleaning, transforming, and organizing data)
Data Preprocessing (Missing value handling, outlier detection and handling, class imbalance, etc.)
Exploratory Data Analysis (EDA)
Feature Engineering
Model Training, Evaluation and Selection
Hyperparameter Tuning

Good to have Skills

NLP
Deep Learning
SQL (for database querying)
Git (for version control)
UI tools - Flask, Streamlit
Big data tools - Hive, Pyspark
GenAI- LLMs",None
11,Machine Learning Engineer ( Computer Vision ),BigShyft,"Chennai, Tamil Nadu",None,None,"Zocket
Minicorn
Chennai
1-3 yrsExperience
Salary is confidential
Seed
Start-up
11-50 employees

Job Description
What You'll do:
Design, develop, and implement cutting-edge machine learning models and algorithms for Generative AI and Computer Vision applications, focusing on areas such as image generation, style transfer, and image synthesis.
Conduct in-depth research and experimentation to explore novel techniques in deep learning and generative models (e.g., GANs, VAEs) to generate realistic and diverse visual content.
Utilize computer vision techniques including object detection, segmentation, and tracking to develop robust and accurate models for various applications.
Work closely with data scientists, software engineers, and domain experts to gather requirements, understand business needs, and design solutions that leverage generative AI and computer vision effectively.
Preprocess and analyze large-scale datasets, ensuring data quality, applying data augmentation techniques, and implementing appropriate feature engineering strategies.
Optimize and fine-tune machine learning models to improve performance, efficiency, and scalability, utilizing techniques such as model compression, pruning, and quantization.
Evaluate and benchmark different machine learning frameworks, libraries, and tools to identify the most suitable options for specific generative AI and computer vision projects.
Stay up-to-date with the latest advancements in machine learning, generative AI, and computer vision, actively participating in conferences, workshops, and research forums.
Collaborate with the team to publish research findings, methodologies, and technical papers, contributing to the machine learning community and enhancing our company's reputation.
Document research experiments, methodologies, and technical specifications, ensuring knowledge transfer and reproducibility of results.
Participate in code reviews, provide constructive feedback, and promote best practices in software development and machine learning engineering.

What makes you a great fit:
Bachelor's, Master's, or PhD degree in Computer Science, Engineering, Mathematics, or a related field, with a strong focus on machine learning, computer vision, or artificial intelligence.
Extensive experience in developing and deploying machine learning models for Generative AI and Computer Vision applications.
Proficiency in Python programming language and solid familiarity with frameworks and libraries such as TensorFlow, PyTorch, Keras, and OpenCV.
Deep understanding of deep learning architectures and generative models, including GANs, VAEs, and their variants.
Strong knowledge of computer vision techniques, including object detection, segmentation, tracking, and image synthesis.
Proven experience in large-scale data processing, preprocessing, and feature engineering, with an emphasis on handling diverse and unstructured visual data.
Strong analytical and problem-solving skills, with the ability to explore and experiment with innovative solutions for complex generative AI and computer vision challenges.
Excellent communication and collaboration skills, with the ability to work effectively in cross-functional teams.
Solid understanding of software engineering best practices, version control systems (e.g., Git), and agile development methodologies.
Demonstrated research experience, publications, or contributions to the machine learning community are highly desirable.
Team Size
10-20 employees
Additional benefits
5 day work week
Flexible work hours
Health care benefits
About Zocket
One touch digital ads for small businesses Currently there are only two options for an SMB owner, either employ a digital marketing agency or stay away from digital ads. True to the mission, Zocket leverages AI to simplify and deskill digital marketing for 300 million+ small businesses of the globe.
Company Type
Start-up

http://zocket.onelink
Company Size
11-50 employees
Headquarters
Bangalore, Karnataka, India",None
12,Senior Associate - Data Science,MathCo,"Bengaluru, Karnataka",2.8 out of 5 stars,8 reviews,"Educational Qualifications
A bachelor’s degree in engineering, statistics, mathematics, computer science or another technical field.
For those with a bachelor’s degree in non-technical fields, relevant prior work experience, technical aptitude, and coursework in data science from institutions of repute will be important.",None
13,Data Scientist,Petpooja,"Ahmedabad, Gujarat",4.5 out of 5 stars,2 reviews,"Ahmedabad, Gujarat, India
Permanent
Technology
0 - 2 years

Job Title:
Data Scientist
Job Description:
Roles and Responsibilities:
Ask the right questions to begin the discovery process
Acquire data
Process and clean the data
Integrate and store data
Initial data investigation and exploratory data analysis
Choose one or more potential models and algorithms (should be able to thoroughly understand the paper and during implementation, improve certain aspects)
Apply data science techniques, such as machine learning, statistical modelling, and artificial intelligence
Measure and improve results
Present final result to stakeholders
Make adjustments based on feedback
Repeat the process to solve a new problem
Experience Range:
0 - 2 years
Educational Qualifications:
Any graduation,
Job Responsibilities:



Skills Required:
Data Science, Machine Learning, Deep Learning, Generative AI, Python,
Candidate Attributes:
Proven experience/internship as a Data Scientist.
Knowledge of Statistics, Machine Learning, Deep Learning algorithms and Generative AI (GANs, Diffusion Models, Prompt writing/understanding, etc).
Must be proficient in python programming.

Job Code: KL-FGAYTVBG
About Us
When Petpooja’s first avatar came into being in 2011, it was a simple B2B food delivery model that took bulk food orders from the corporates & passed them forward to the restaurants. But soon, our founders realised that the restaurants they worked with were not living up to their potential and were shutting down forever. Primarily it was due to a lack of coherent technology that could support their daily operations. Their billing machines were as bulky, tedious and old as time. Due to this, the restaurants never had an actual estimate of their profit margins & expenses. Back then, restaurants were suffering more than growing.

This was when our founders decided to build a robust, user-friendly & cost-effective billing software for SMB restaurants that will automate everyday operations and push businesses towards sustainability.

And now, a decade into the industry, we have realized our dream of becoming the ideal restaurant billing solution provider to all & every kind of food service business in India.
Why Us?
Join the Petpooja Family!

Petpooja is always on the look-out for passionate and talented individuals. If you think you have the zest to work, learn, and have fun, then this is your nirvana!

Attitude before Aptitude:
When we say ""Attitude before Aptitude"", we mean that you need to have the correct attitude to qualify for a test of aptitude. While we do look for the highest aptitude and professional prowess, but, it's not going to be at the cost of the right attitude.

Organic Growth:
At Petpooja, we believe that the best leaders are groomed, not found from the outside. So, we try our best to foster leadership within the organization and give each and every individual an equal chance to climb the career ladder. Petpooja is an equal opportunity employer. We do not discriminate based on caste, religious beliefs, gender, race or sexual orientation. So, if you think that your personality & skills fit perfectly into our company culture, then apply for your desired position right away!

And if you want to know more about our team or culture, drop by our office for a cup of coffee, a game of Table Tennis or Chess (choice is yours)! As signified by our name - Petpooja, we’re regarded as great hosts.",None
14,AI/ML Education Specialist,Rosversity Private Limited,"Kochi, Kerala",None,None,"We are seeking an experienced Data Science and AI/ML Trainer to join our team and lead the training for a batch of fresh graduates with a specialization in Data Science or AI/ML. As a Trainer, you will be responsible for imparting knowledge, facilitating hands-on sessions, and guiding the trainees through a comprehensive training program. The successful candidate should have a strong educational background and a deep understanding of Data Science and AI/ML concepts.
Key Responsibilities:
Training Delivery: Develop and deliver high-quality training sessions in Data Science and AI/ML to a batch of fresh graduates.
Curriculum Development: Create and update training materials, including presentations, hands-on exercises, and assessments.
Hands-On Workshops: Conduct practical sessions to enhance trainees' understanding of real-world applications of Data Science and AI/ML.
Mentoring: Provide guidance and mentorship to trainees, helping them to apply concepts in real-world scenarios.
Evaluation: Assess trainees' progress and performance throughout the training program and provide constructive feedback.
Stay Current: Stay updated with the latest developments in Data Science and AI/ML to ensure that training materials are current and relevant.
Preferred candidates from Kerala
Contact number 8891905611
Job Types: Full-time, Permanent
Salary: ₹15,000.00 per month
Schedule:
Day shift
Experience:
total work: 1 year (Required)
Ability to Commute:
Kochi, Kerala (Required)
Ability to Relocate:
Kochi, Kerala: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 8891905611","₹15,000 a month"
15,Senior Associate – Data Science Consultant,MathCo,"Bengaluru, Karnataka",None,None,None,None
16,BCG X Lead Data Scientist,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
17,Data science,Purview Services,India,None,None,None,None
18,Scala / ML engineer,Dotcod Innovation Private Limited,"Bengaluru, Karnataka",None,None,None,"₹10,00,000 - ₹24,00,000 a year"
19,Data Science Trainer,MISD - Management Institute of Skill Development,"New Delhi, Delhi",None,None,None,"₹15,000 - ₹25,000 a month"
20,Data Science & Operations Lead,NOKIA,"Noida, Uttar Pradesh",None,None,None,None
21,Data Scientist: Artificial Intelligence,IBM,"Bengaluru, Karnataka",None,None,None,None
22,Python Developer - Data Modeling & Machine Learning,CloudWhiz DigiTech Global Ventures Pvt Ltd,"Ernakulam, Kerala",None,None,None,"Up to ₹60,000 a month"
23,Google Analytics,Phygital Insights,"Bengaluru, Karnataka",None,None,None,None
24,Machine Learning Engineer,Olibr,"Lucknow, Uttar Pradesh",None,None,None,None
25,Solutions Design Consultant - Data Science,Affine Inc,"Bengaluru, Karnataka",None,None,None,None
26,ML Engineer,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
27,"Professor in computer Science and Engineering, MCA, AIML,Data science",Rajamahendri Institute of Engineering and...,"Rajahmundry, Andhra Pradesh",None,None,None,"From ₹7,10,000 a year"
28,Senior Associate Data Engineering L1_DS-AI & Machine Learning,Publicis Groupe,"Pune, Maharashtra",None,None,None,None
29,Natural Language Processing Engineer,WebDexon,"Mohali, Punjab",None,None,None,"₹5,00,000 - ₹12,00,000 a year"
30,Senior Associate – Data Science Consultant,MathCo,"Bengaluru, Karnataka",None,None,None,None
31,BCG X Lead Data Scientist,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
32,Data science,Purview Services,India,None,None,None,None
33,Scala / ML engineer,Dotcod Innovation Private Limited,"Bengaluru, Karnataka",None,None,None,"₹10,00,000 - ₹24,00,000 a year"
34,Data Science Trainer,MISD - Management Institute of Skill Development,"New Delhi, Delhi",None,None,None,"₹15,000 - ₹25,000 a month"
35,Data Science & Operations Lead,NOKIA,"Noida, Uttar Pradesh",None,None,None,None
36,Data Scientist: Artificial Intelligence,IBM,"Bengaluru, Karnataka",None,None,None,None
37,Python Developer - Data Modeling & Machine Learning,CloudWhiz DigiTech Global Ventures Pvt Ltd,"Ernakulam, Kerala",None,None,None,"Up to ₹60,000 a month"
38,Google Analytics,Phygital Insights,"Bengaluru, Karnataka",None,None,None,None
39,Machine Learning Engineer,Olibr,"Lucknow, Uttar Pradesh",None,None,None,None
40,Solutions Design Consultant - Data Science,Affine Inc,"Bengaluru, Karnataka",None,None,None,None
41,ML Engineer,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
42,"Professor in computer Science and Engineering, MCA, AIML,Data science",Rajamahendri Institute of Engineering and...,"Rajahmundry, Andhra Pradesh",None,None,None,"From ₹7,10,000 a year"
43,Senior Associate Data Engineering L1_DS-AI & Machine Learning,Publicis Groupe,"Pune, Maharashtra",None,None,None,None
44,Natural Language Processing Engineer,WebDexon,"Mohali, Punjab",None,None,None,"₹5,00,000 - ₹12,00,000 a year"
45,Senior Associate – Data Science Consultant,MathCo,"Bengaluru, Karnataka",None,None,None,None
46,BCG X Lead Data Scientist,Boston Consulting Group,"Bengaluru, Karnataka",None,None,None,None
47,Data science,Purview Services,India,None,None,None,None
